	snapshot_link	name	owner	address	price_range	bed_range	amenities	contact	property_link
14	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	500 Lake Shore Drive, Chicago, IL	The Related Companies	500 N Lake Shore Dr, Chicago, IL 60611	$2,050 - 5,095	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer	(312) 548-6742                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
15	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	One Bennett Park, Chicago, IL	The Related Companies	451 E Grand Ave, Chicago, IL 60611	$3,395 - 8,895	1-3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher;Fitness Center	(708) 628-5642                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
16	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Chestnut Tower Apartments, Chicago, IL	NA	121 W Chestnut St, Chicago, IL 60610	$1,842 - 11,950	Studio - 3 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(312) 462-0329                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
17	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Westerly, Chicago, IL	Greystar Real Estate Partners	740 N Aberdeen St, Chicago, IL 60642	$1,900 - 5,595	Studio - 3 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(844) 402-4562                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
18	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Monroe Aberdeen Place, Chicago, IL	Marquette Management, Inc.	1050-1060 W Monroe St, Chicago, IL 60607	$3,450 - 4,695	1-3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher;Parking	(847) 906-8710                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
19	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Reside on Green Street, Chicago, IL	NA	504 N Green St, Chicago, IL 60642	$1,635 - 6,450	Studio - 3 Beds	Dog Friendly;Cat Friendly;Parking;Fitness Center	(312) 964-3768                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
20	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Mondial River West, Chicago, IL	Lincoln Property Company	910 W Huron St, Chicago, IL 60642	$2,665 - 6,735	Studio - 4 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(844) 741-2982                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
21	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	The Bush Temple, Chicago, IL	CEDARst Companies	108 W Chicago Ave, Chicago, IL 60654	$1,700 - 2,650	Studio - 1 Bed	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(877) 314-6188                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
22	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	The Winnie, Chicago, IL	CEDARst Companies	4750 N Winthrop Ave, Chicago, IL 60640	$1,510 - 2,080	Studio - 1 Bed	Dog Friendly;Cat Friendly;Air Conditioning;Parking	(844) 227-3127                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
23	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Aberdeen East, Chicago, IL	QUAD-C Management Inc	171 N Aberdeen St, Chicago, IL 60607	$1,996 - 2,790	Studio	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(312) 429-6982                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
24	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Coeval, Chicago, IL	Greystar Real Estate Partners	51 E 14th St, Chicago, IL 60605	$1,640 - 5,055	Studio - 2 Beds	Dog Friendly;Cat Friendly;Parking;Fitness Center	(847) 447-2282                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
0	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Elevate, Chicago, IL	Greystar Real Estate Partners	930 W Altgeld St, Chicago, IL 60614	$2,075 - 14,435	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Parking	(847) 440-3110                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
1	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	The Residences at NewCity, Chicago, IL	BEZTAK Properties	1457 N Halsted St, Chicago, IL 60642	$2,126 - 4,215	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 295-8794                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
2	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Regents Park, Chicago, IL	Antheus Capital	5035 S East End Ave, Chicago, IL 60615	$1,600 - 4,748	Studio - 4 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(224) 203-2815                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
3	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	1407 On Michigan, Chicago, IL	NA	1407 S Michigan Ave, Chicago, IL 60605	$1,750 - 5,650	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 207-9781                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
4	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	The Pavilion, Chicago, IL	Brookfield Asset Management, Inc.	5441 NE NEast River Rd, Chicago, IL 60656	$1,130 - 2,185	Studio - 4 Beds	Dog Friendly;Cat Friendly;Parking;Fitness Center	(866) 794-5357                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
5	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Gild, Chicago, IL	Newcastle Limited	1206-1212 N State Pky, Chicago, IL 60610	$2,260 - 6,322	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(224) 326-0829                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
6	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Union West, Chicago, IL	ZRS Management	939 W Washington Blvd, Chicago, IL 60607	$2,075 - 4,815	Studio - 3 Beds	Dog Friendly;Cat Friendly;Parking;Fitness Center	(312) 815-5216                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
7	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Chestnut Tower Apartments, Chicago, IL	NA	121 W Chestnut St, Chicago, IL 60610	$2,066 - 11,136	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(312) 462-0329                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
8	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	The Parker Fulton Market, Chicago, IL	Atlantic Residential	730 W Couch Pl, Chicago, IL 60661	$2,079 - 7,783	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 294-8524                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
9	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	The Synagogue, Chicago, IL	CEDARst Companies	5029 N Kenmore Ave, Chicago, IL 60640	$1,740 - 1,890	1 Bed	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 288-1201                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
10	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Optima Signature, Chicago, IL	Optima Enterprises	220 E Illinois St, Chicago, IL 60611	$2,539 - 9,828	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher;Parking	(844) 596-1422                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
11	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Westerly, Chicago, IL	Greystar Real Estate Partners	740 N Aberdeen St, Chicago, IL 60642	$2,300 - 5,299	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 402-4562                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
12	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Residences at 8 East Huron, Chicago, IL	CA Global Services	8 E Huron St, Chicago, IL 60611	$2,575 - 6,895	1-3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher;Parking	(773) 906-5670                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
13	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	369 Grand by Onni, Chicago, IL	NA	369 W Grand Ave, Chicago, IL 60654	$2,425 - 64,650	Studio - 4 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(224) 215-0020                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
14	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Aurelien, Chicago, IL	Lincoln Property Company	833 N Clark St, Chicago, IL 60610	$2,215 - 13,048	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 489-9630                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
15	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	The Henry, Chicago, IL	CEDARst Companies	4346 N Honore St, Chicago, IL 60613	$2,044 - 2,139	1 Bed	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 203-3238                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
16	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	The Van Buren, Chicago, IL	Greystar Real Estate Partners	808 W Van Buren St, Chicago, IL 60607	$2,200 - 3,820	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 694-6517                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
17	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Circa 922, Chicago, IL	Lincoln Property Company	922 W Washington Blvd, Chicago, IL 60607	$1,863 - 3,484	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(773) 358-4744                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
18	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Marlowe, Chicago, IL	Lennar Homes LLC	169 W Huron St, Chicago, IL 60654	$1,990 - 5,521	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(847) 979-4467                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
19	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Coeval, Chicago, IL	Greystar Real Estate Partners	51 E 14th St, Chicago, IL 60605	$1,780 - 5,045	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Parking;Fitness Center	(847) 447-2282                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
20	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	One Chicago, Chicago, IL	Lincoln Property Company	14 W Superior St, Chicago, IL 60654	$2,393 - 11,620	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Parking;Fitness Center	(312) 585-7552                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
21	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	The Kent, Chicago, IL	RMK Management Corporation	2623-2627 N Clark St, Chicago, IL 60614	$2,224 - 2,304	1 Bed	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(947) 252-6867                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
22	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	Clark Street Apartments, Chicago, IL	Horizon Realty Group	2555 N Clark St, Chicago, IL 60614	$1,812 - 2,914	Studio - 1 Bed	Dog Friendly;Cat Friendly;Dishwasher;Parking	(833) 218-5816                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
23	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	NEMA Chicago, Chicago, IL	Crescent Heights	1210 S Indiana Ave, Chicago, IL 60605	$1,920 - 19,900	Studio - 4 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(872) 268-6517                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
24	https://web.archive.org/web/20220321160908/https://www.apartments.com/chicago-il/	North Water Apartments, Chicago, IL	Lincoln Property Company	340 E North Water St, Chicago, IL 60611	$2,175 - 7,956	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 402-4750                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
0	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Elevate, Chicago, IL	Greystar Real Estate Partners	930 W Altgeld St, Chicago, IL 60614	$2,245 - 14,435	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Parking	(847) 440-3110                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
1	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	The Residences at NewCity, Chicago, IL	BEZTAK Properties	1457 N Halsted St, Chicago, IL 60642	$2,126 - 4,249	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 295-8794                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
2	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Regents Park, Chicago, IL	Antheus Capital	5035 S East End Ave, Chicago, IL 60615	$1,575 - 4,748	Studio - 4 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(224) 203-2815                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
3	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	The Pavilion, Chicago, IL	NA	5441 NE NEast River Rd, Chicago, IL 60656	$1,090 - 2,190	Studio - 4 Beds	Dog Friendly;Cat Friendly;Parking;Fitness Center	(866) 794-5357                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
4	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Solstice on the Park, Chicago, IL	Antheus Capital	1616 E 56th St, Chicago, IL 60637	$2,550 - 7,589	1-3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(773) 917-0650                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
5	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	5036 N Sheridan Rd, Chicago, IL	CIM Living	Chicago, IL 60640	$780 - 1,110	Studio - 1 Bed	Cat Friendly;Parking	(872) 285-5421                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
6	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	369 Grand by Onni, Chicago, IL	NA	369 W Grand Ave, Chicago, IL 60654	$2,095 - 61,768	Studio - 4 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(224) 215-0020                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
7	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Gild, Chicago, IL	Newcastle Limited	1206-1212 N State Pky, Chicago, IL 60610	$2,260 - 6,322	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(224) 326-0829                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
8	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	The Parker Fulton Market, Chicago, IL	Atlantic Residential	730 W Couch Pl, Chicago, IL 60661	$2,062 - 7,287	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 294-8524                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
9	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Union West, Chicago, IL	ZRS Management	939 W Washington Blvd, Chicago, IL 60607	$2,556 - 3,620	1 Bed	Dog Friendly;Cat Friendly;Parking;Fitness Center	(312) 815-5216                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
10	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Imprint, Chicago, IL	Greystar Real Estate Partners	717 S Clark St, Chicago, IL 60605	$1,935 - 14,000	Studio - 4 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 264-5425                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
11	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	The Synagogue, Chicago, IL	CEDARst Companies	5029 N Kenmore Ave, Chicago, IL 60640	$1,870 - 1,890	1 Bed	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 288-1201                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
12	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	The Van Buren, Chicago, IL	Greystar Real Estate Partners	808 W Van Buren St, Chicago, IL 60607	$2,200 - 3,820	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 694-6517                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
13	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	The Lofts at Gin Alley, Chicago, IL	Newcastle Limited	120 N Green St, Chicago, IL 60607	$2,150 - 11,847	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Fitness Center	(844) 410-6603                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
14	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	North Water Apartments, Chicago, IL	Lincoln Property Company	340 E North Water St, Chicago, IL 60611	$2,095 - 7,733	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 402-4750                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
15	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Triangle Square, Chicago, IL	Lennar Homes LLC	2155 N Elston Ave, Chicago, IL 60614	$1,671 - 6,135	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(872) 873-3137                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
16	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Gateway West Loop, Chicago, IL	Lincoln Property Company	11 S Green St, Chicago, IL 60607	$1,816 - 5,210	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 417-3242                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
17	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	The Kent, Chicago, IL	RMK Management Corporation	2623-2627 N Clark St, Chicago, IL 60614	$2,209 - 2,301	1 Bed	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(947) 252-6867                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
18	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Clark Street Apartments, Chicago, IL	Horizon Realty Group	2555 N Clark St, Chicago, IL 60614	$1,830 - 2,803	Studio - 1 Bed	Dog Friendly;Cat Friendly;Dishwasher;Parking	(833) 218-5816                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
19	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Marlowe, Chicago, IL	Lennar Homes LLC	169 W Huron St, Chicago, IL 60654	$1,953 - 5,521	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(847) 979-4467                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
20	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Westerly, Chicago, IL	Greystar Real Estate Partners	740 N Aberdeen St, Chicago, IL 60642	$1,750 - 5,595	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 402-4562                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
21	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Aurelien, Chicago, IL	Lincoln Property Company	833 N Clark St, Chicago, IL 60610	$2,352 - 16,463	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 489-9630                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
22	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Chestnut Tower Apartments, Chicago, IL	NA	121 W Chestnut St, Chicago, IL 60610	$1,888 - 10,746	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(312) 462-0329                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
23	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Marquee at Block 37, Chicago, IL	Morguard Management Company Inc	25 W Randolph St, Chicago, IL 60601	$1,918 - 8,339	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Parking;Fitness Center	(844) 859-7954                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
24	https://web.archive.org/web/20220403132436/https://www.apartments.com/chicago-il/	Coeval, Chicago, IL	Greystar Real Estate Partners	51 E 14th St, Chicago, IL 60605	$1,780 - 5,045	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Parking;Fitness Center	(847) 447-2282                                                                                	https://www.apartments.com/elevate-chicago-il/nzfe70p/
0	https://web.archive.org/web/20220426234339/https://www.apartments.com/chicago-il/	The Residences at NewCity, Chicago, IL	BEZTAK Properties	1457 N Halsted St, Chicago, IL 60642	$2,246 - 4,199	Studio - 2 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher	(844) 295-8794                                                                                	https://www.apartments.com/the-residences-at-newcity-chicago-il/wg6wcxl/
