	nodes	xpaths
31	Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/a
32	Chicago Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[1]/a
33	Elk Grove Village Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[2]/a
34	Evanston Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[3]/a
35	Highland Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[4]/a
36	Lakeview Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[5]/a
37	Lincoln Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[6]/a
38	Oak Park Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[7]/a
39	Schaumburg Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[8]/a
40	Winnetka Condos For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[9]/a
41	Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/a
42	Aurora Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[1]/a
43	Chicago Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[2]/a
44	Cook County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[3]/a
45	DuPage County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[4]/a
46	Kane County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[5]/a
47	Lake County Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[6]/a
48	Naperville Townhomes For Rent	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[7]/a
49	Help Center	/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[7]/a
50	Español	/html/body/div[1]/header/nav/div[2]/a/span
51	Favorites	/html/body/div[1]/header/nav/div[5]/div[1]/span[2]
52	New	/html/body/div[1]/header/nav/div[5]/div[2]/span[2]
53	Alerts	/html/body/div[1]/header/nav/div[5]/div[3]/span
54	Sign Up	/html/body/div[1]/header/nav/div[6]/div/a[1]
55	Sign In	/html/body/div[1]/header/nav/div[6]/div/a[2]
56	Add a Property	/html/body/div[1]/header/nav/div[6]/a/span
57	Back to Search	/html/body/div[1]/main/section/header/div/div[1]/a/span
58	Search input	/html/body/div[1]/main/section/header/div/span[1]/label
59	Price	/html/body/div[1]/main/section/header/div/span[2]/div/a/span[1]
60	minimum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[1]/label
61	maximum Rent Input	/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[2]/label
62	No Min	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[1]
63	$1,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[2]
64	$1,100	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[3]
65	$1,300	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[4]
66	$1,500	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[5]
67	$1,800	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[6]
68	$2,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[7]
69	$1,400	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[1]
70	$1,600	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[2]
71	$1,800	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[3]
72	$2,200	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[4]
73	$2,900	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[5]
74	$3,000	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[6]
75	No Max	/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[7]
76	Beds	/html/body/div[1]/main/section/header/div/span[3]/div/a/span[1]
77	minimum beds select combobox	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/label
78	No Min	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[1]
79	1	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[2]
80	2	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[3]
81	3	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[4]
82	4+	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[5]
83	maximum beds select combobox	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/label
84	No Max	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[1]
85	Studio	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[2]
86	1	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[3]
87	2	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[4]
88	3	/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[5]
89	No Min	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[1]
90	1 Bed	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[2]
91	2 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[3]
92	3 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[4]
93	4+ Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[5]
94	No Max	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[1]
95	Studio	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[2]
96	1 Bed	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[3]
97	2 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[4]
98	3 Beds	/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[5]
99	Type	/html/body/div[1]/main/section/header/div/span[4]/div/a/span[1]
100	Apartments	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[1]
101	(20233)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[2]
102	Houses	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[1]
103	(251)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[2]
104	Condos	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[1]
105	(12760)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[2]
106	Townhomes	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[1]
107	(332)	/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[2]
108	Lifestyle	/html/body/div[1]/main/section/header/div/span[5]/a/span[1]
109	Lifestyle	/html/body/div[1]/main/section/header/div/span[5]/fieldset/legend
110	Student	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[1]
111	(21115)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[2]
112	Senior Housing	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[1]
113	(218)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[2]
114	Short Term	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[1]
115	(2057)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[2]
116	Military Housing	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[1]
117	(0)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[2]
118	Corporate Housing	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[1]
119	(248)	/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[2]
120	Move-In Date	/html/body/div[1]/main/section/header/div/span[6]/span/div/a/span[1]
121	More	/html/body/div[1]/main/section/header/div/span[7]/a/span[1]
122	Save	/html/body/div[1]/main/section/header/div/div[2]/div[1]/div[1]/button/span
123	Sort	/html/body/div[1]/main/section/header/div/div[2]/div[2]/button/span
124	Beds	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/h2
125	minimum beds select combobox	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/label
126	No Min	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[1]
127	1	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[2]
128	2	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[3]
129	3	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[4]
130	4+	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[5]
131	maximum beds select combobox	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/label
132	No Max	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[1]
133	Studio	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[2]
134	1	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[3]
135	2	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[4]
136	3	/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[5]
137	Type	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/h2
138	Apartments	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[1]/fieldset/label/span[1]
139	(20233)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[1]/fieldset/label/span[2]
140	Houses	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[2]/fieldset/label/span[1]
141	(251)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[2]/fieldset/label/span[2]
142	Condos	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[3]/fieldset/label/span[1]
143	(12760)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[3]/fieldset/label/span[2]
144	Townhomes	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[4]/fieldset/label/span[1]
145	(332)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[4]/fieldset/label/span[2]
146	Lifestyle	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/h2
147	Lifestyle select combobox	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/label
148	None	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[1]
149	Student (21115)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[2]
150	Senior Housing (218)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[3]
151	Short Term (2057)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[4]
152	Military Housing (0)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[5]
153	Corporate Housing (248)	/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[6]
154	Move-In Date	/html/body/div[1]/main/section/section[1]/div[1]/div/section[2]/h2
155	Universities Nearby	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[1]/a/span/span[1]
156	Pricing Type	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/a/span/span[1]
157	Pricing Per-Person	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[1]/label/span[1]
158	(434)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[1]/label/span[2]
159	Pricing Per-Room	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[2]/label/span[1]
160	(0)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[2]/label/span[2]
161	Pricing Per-Unit	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[3]/label/span[1]
162	(20644)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[3]/label/span[2]
163	Amenities	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/a/span/span[1]
164	Individual Locking Bedrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[1]/label/span[1]
165	(629)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[1]/label/span[2]
166	Private Bathroom	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[2]/label/span[1]
167	(729)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[2]/label/span[2]
168	Roommate Matching	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[3]/label/span[1]
169	(270)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[3]/label/span[2]
170	Shuttle to Campus	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[4]/label/span[1]
171	(81)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[4]/label/span[2]
172	Study Lounge	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[5]/label/span[1]
173	(670)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[5]/label/span[2]
174	Walk to Campus	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[6]/label/span[1]
175	(626)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[6]/label/span[2]
176	Baths	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[1]
177	Any	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[1]/fieldset/label/span[1]
178	(24853)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[1]/fieldset/label/span[2]
179	1+ Bathrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[2]/fieldset/label/span[1]
180	(24841)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[2]/fieldset/label/span[2]
181	2+ Bathrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[3]/fieldset/label/span[1]
182	(6232)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[3]/fieldset/label/span[2]
183	3+ Bathrooms	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[4]/fieldset/label/span[1]
184	(724)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[4]/fieldset/label/span[2]
185	Amenities	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[2]
186	Air Conditioning	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[1]/fieldset/label/span[1]
187	(13536)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[1]/fieldset/label/span[2]
188	In Unit Washer & Dryer	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[2]/fieldset/label/span[1]
189	(11403)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[2]/fieldset/label/span[2]
190	Washer & Dryer Hookups	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[3]/fieldset/label/span[1]
191	(1403)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[3]/fieldset/label/span[2]
192	Dishwasher	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[4]/fieldset/label/span[1]
193	(14563)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[4]/fieldset/label/span[2]
194	Wheelchair Access	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[5]/fieldset/label/span[1]
195	(3298)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[5]/fieldset/label/span[2]
196	Parking	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[6]/fieldset/label/span[1]
197	(13883)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[6]/fieldset/label/span[2]
198	Laundry Facilities	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[7]/fieldset/label/span[1]
199	(11047)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[7]/fieldset/label/span[2]
200	Fitness Center	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[8]/fieldset/label/span[1]
201	(10603)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[8]/fieldset/label/span[2]
202	Pool	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[9]/fieldset/label/span[1]
203	(6214)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[9]/fieldset/label/span[2]
204	Elevator	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[10]/fieldset/label/span[1]
205	(9886)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[10]/fieldset/label/span[2]
206	Doorman	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[11]/fieldset/label/span[1]
207	(4161)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[11]/fieldset/label/span[2]
208	Dog Friendly	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[12]/fieldset/label/span[1]
209	(15175)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[12]/fieldset/label/span[2]
210	Cat Friendly	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[13]/fieldset/label/span[1]
211	(17549)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[13]/fieldset/label/span[2]
212	Furnished	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[14]/fieldset/label/span[1]
213	(2538)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[14]/fieldset/label/span[2]
214	Lofts	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[15]/fieldset/label/span[1]
215	(975)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[15]/fieldset/label/span[2]
216	Utilities Included	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[16]/fieldset/label/span[1]
217	(13121)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[16]/fieldset/label/span[2]
218	Gated	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[17]/fieldset/label/span[1]
219	(4822)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[17]/fieldset/label/span[2]
220	Fireplace	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[18]/fieldset/label/span[1]
221	(2409)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[18]/fieldset/label/span[2]
222	Patio	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[19]/fieldset/label/span[1]
223	(2497)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[19]/fieldset/label/span[2]
224	Garage	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[20]/fieldset/label/span[1]
225	(8217)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[20]/fieldset/label/span[2]
226	Hardwood Floors	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[21]/fieldset/label/span[1]
227	(13321)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[21]/fieldset/label/span[2]
228	Balcony	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[22]/fieldset/label/span[1]
229	(5102)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[22]/fieldset/label/span[2]
230	Office	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[23]/fieldset/label/span[1]
231	(2104)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[23]/fieldset/label/span[2]
232	Den	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[24]/fieldset/label/span[1]
233	(1080)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[24]/fieldset/label/span[2]
234	Yard	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[25]/fieldset/label/span[1]
235	(1004)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[25]/fieldset/label/span[2]
236	Clubhouse	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[26]/fieldset/label/span[1]
237	(3360)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[26]/fieldset/label/span[2]
238	Business Center	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[27]/fieldset/label/span[1]
239	(6011)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[27]/fieldset/label/span[2]
240	Controlled Access	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[28]/fieldset/label/span[1]
241	(5523)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[28]/fieldset/label/span[2]
242	Playground	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[29]/fieldset/label/span[1]
243	(534)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[29]/fieldset/label/span[2]
244	Basement	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[30]/fieldset/label/span[1]
245	(522)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[30]/fieldset/label/span[2]
246	Walk-In Closets	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[31]/fieldset/label/span[1]
247	(6884)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[31]/fieldset/label/span[2]
248	Concierge	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[32]/fieldset/label/span[1]
249	(4583)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[32]/fieldset/label/span[2]
250	Affordability	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[3]
251	Low Income	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[3]/ul/li[1]/fieldset/label/span[1]
252	(572)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[3]/ul/li[1]/fieldset/label/span[2]
