nodes,Labels,xpaths
Evanston Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[3]/a
Highland Park Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[4]/a
Lakeview Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[5]/a
Lincoln Park Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[6]/a
Oak Park Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[7]/a
Schaumburg Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[8]/a
Winnetka Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[9]/a
Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/a
Aurora Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[1]/a
Chicago Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[2]/a
Cook County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[3]/a
DuPage County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[4]/a
Kane County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[5]/a
Lake County Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[6]/a
Naperville Townhomes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[6]/ul/li[7]/a
Help Center,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[7]/a
Español,NE,/html/body/div[1]/header/nav/div[2]/a/span
Favorites,NE,/html/body/div[1]/header/nav/div[5]/div[1]/span[2]
New,NE,/html/body/div[1]/header/nav/div[5]/div[2]/span[2]
Alerts,NE,/html/body/div[1]/header/nav/div[5]/div[3]/span
Sign Up,NE,/html/body/div[1]/header/nav/div[6]/div/a[1]
Sign In,NE,/html/body/div[1]/header/nav/div[6]/div/a[2]
Add a Property,NE,/html/body/div[1]/header/nav/div[6]/a/span
Back to Search,NE,/html/body/div[1]/main/section/header/div/div[1]/a/span
Search input,NE,/html/body/div[1]/main/section/header/div/span[1]/label
Price,NE,/html/body/div[1]/main/section/header/div/span[2]/div/a/span[1]
minimum Rent Input,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[1]/label
maximum Rent Input,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/div/fieldset[2]/label
No Min,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[1]
"$1,000 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[2]
"$1,100 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[3]
"$1,300 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[4]
"$1,500 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[5]
"$1,800 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[6]
"$2,000 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[1]/li[7]
"$1,400 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[1]
"$1,600 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[2]
"$1,800 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[3]
"$2,200 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[4]
"$2,900 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[5]
"$3,000 ",NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[6]
No Max,NE,/html/body/div[1]/main/section/header/div/span[2]/div/div/ul[2]/li[7]
Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/a/span[1]
minimum beds select combobox,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/label
No Min,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[1]
1,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[2]
2,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[3]
3,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[4]
4+,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[2]/select/option[5]
maximum beds select combobox,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/label
No Max,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[1]
Studio,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[2]
1,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[3]
2,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[4]
3,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/div/div/div[3]/select/option[5]
No Min,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[1]
1 Bed,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[2]
2 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[3]
3 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[4]
4+ Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[1]/li[5]
No Max,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[1]
Studio,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[2]
1 Bed,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[3]
2 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[4]
3 Beds,NE,/html/body/div[1]/main/section/header/div/span[3]/div/div/ul[2]/li[5]
Type,NE,/html/body/div[1]/main/section/header/div/span[4]/div/a/span[1]
Apartments,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[1]
-20233,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[1]/fieldset/label/span[2]
Houses,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[1]
-251,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[2]/fieldset/label/span[2]
Condos,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[1]
-12760,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[3]/fieldset/label/span[2]
Townhomes,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[1]
-332,NE,/html/body/div[1]/main/section/header/div/span[4]/div/div/div[4]/fieldset/label/span[2]
Lifestyle,NE,/html/body/div[1]/main/section/header/div/span[5]/a/span[1]
Lifestyle,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/legend
Student,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[1]
-21115,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[1]/a/label/span[2]
Senior Housing,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[1]
-218,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[2]/a/label/span[2]
Short Term,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[1]
-2057,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[3]/a/label/span[2]
Military Housing,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[1]
0,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[4]/a/label/span[2]
Corporate Housing,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[1]
-248,NE,/html/body/div[1]/main/section/header/div/span[5]/fieldset/span/span[5]/a/label/span[2]
Move-In Date,NE,/html/body/div[1]/main/section/header/div/span[6]/span/div/a/span[1]
More,NE,/html/body/div[1]/main/section/header/div/span[7]/a/span[1]
Save,NE,/html/body/div[1]/main/section/header/div/div[2]/div[1]/div[1]/button/span
Sort,NE,/html/body/div[1]/main/section/header/div/div[2]/div[2]/button/span
Beds,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/h2
minimum beds select combobox,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/label
No Min,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[1]
1,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[2]
2,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[3]
3,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[4]
4+,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[1]/select/option[5]
maximum beds select combobox,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/label
No Max,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[1]
Studio,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[2]
1,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[3]
2,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[4]
3,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[1]/div/div/div/div/div[3]/select/option[5]
Type,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/h2
Apartments,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[1]/fieldset/label/span[1]
-20233,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[1]/fieldset/label/span[2]
Houses,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[2]/fieldset/label/span[1]
-251,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[2]/fieldset/label/span[2]
Condos,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[3]/fieldset/label/span[1]
-12760,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[3]/fieldset/label/span[2]
Townhomes,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[4]/fieldset/label/span[1]
-332,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[1]/div/ul/li[4]/fieldset/label/span[2]
Lifestyle,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/h2
Lifestyle select combobox,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/label
None,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[1]
Student (21115),NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[2]
Senior Housing (218),NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[3]
Short Term (2057),NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[4]
Military Housing (0),NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[5]
Corporate Housing (248),NE,/html/body/div[1]/main/section/section[1]/div[1]/div/div[2]/div/div/div/div/select/option[6]
Move-In Date,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[2]/h2
Universities Nearby,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[1]/a/span/span[1]
Pricing Type,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/a/span/span[1]
Pricing Per-Person,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[1]/label/span[1]
-434,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[1]/label/span[2]
Pricing Per-Room,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[2]/label/span[1]
0,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[2]/label/span[2]
Pricing Per-Unit,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[3]/label/span[1]
-20644,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[2]/div/fieldset[3]/label/span[2]
Amenities,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/a/span/span[1]
Individual Locking Bedrooms,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[1]/label/span[1]
-629,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[1]/label/span[2]
Private Bathroom,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[2]/label/span[1]
-729,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[2]/label/span[2]
Roommate Matching,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[3]/label/span[1]
-270,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[3]/label/span[2]
Shuttle to Campus,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[4]/label/span[1]
-81,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[4]/label/span[2]
Study Lounge,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[5]/label/span[1]
-670,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[5]/label/span[2]
Walk to Campus,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[6]/label/span[1]
-626,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[3]/div[3]/div/fieldset[6]/label/span[2]
Baths,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[1]
Any,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[1]/fieldset/label/span[1]
-24853,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[1]/fieldset/label/span[2]
1+ Bathrooms,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[2]/fieldset/label/span[1]
-24841,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[2]/fieldset/label/span[2]
2+ Bathrooms,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[3]/fieldset/label/span[1]
-6232,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[3]/fieldset/label/span[2]
3+ Bathrooms,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[4]/fieldset/label/span[1]
-724,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[1]/ul/li[4]/fieldset/label/span[2]
Amenities,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[2]
Air Conditioning,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[1]/fieldset/label/span[1]
-13536,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[1]/fieldset/label/span[2]
In Unit Washer & Dryer,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[2]/fieldset/label/span[1]
-11403,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[2]/fieldset/label/span[2]
Washer & Dryer Hookups,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[3]/fieldset/label/span[1]
-1403,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[3]/fieldset/label/span[2]
Dishwasher,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[4]/fieldset/label/span[1]
-14563,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[4]/fieldset/label/span[2]
Wheelchair Access,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[5]/fieldset/label/span[1]
-3298,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[5]/fieldset/label/span[2]
Parking,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[6]/fieldset/label/span[1]
-13883,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[6]/fieldset/label/span[2]
Laundry Facilities,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[7]/fieldset/label/span[1]
-11047,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[7]/fieldset/label/span[2]
Fitness Center,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[8]/fieldset/label/span[1]
-10603,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[8]/fieldset/label/span[2]
Pool,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[9]/fieldset/label/span[1]
-6214,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[9]/fieldset/label/span[2]
Elevator,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[10]/fieldset/label/span[1]
-9886,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[10]/fieldset/label/span[2]
Doorman,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[11]/fieldset/label/span[1]
-4161,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[11]/fieldset/label/span[2]
Dog Friendly,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[12]/fieldset/label/span[1]
-15175,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[12]/fieldset/label/span[2]
Cat Friendly,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[13]/fieldset/label/span[1]
-17549,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[13]/fieldset/label/span[2]
Furnished,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[14]/fieldset/label/span[1]
-2538,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[14]/fieldset/label/span[2]
Lofts,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[15]/fieldset/label/span[1]
-975,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[15]/fieldset/label/span[2]
Utilities Included,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[16]/fieldset/label/span[1]
-13121,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[16]/fieldset/label/span[2]
Gated,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[17]/fieldset/label/span[1]
-4822,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[17]/fieldset/label/span[2]
Fireplace,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[18]/fieldset/label/span[1]
-2409,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[18]/fieldset/label/span[2]
Patio,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[19]/fieldset/label/span[1]
-2497,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[19]/fieldset/label/span[2]
Garage,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[20]/fieldset/label/span[1]
-8217,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[20]/fieldset/label/span[2]
Hardwood Floors,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[21]/fieldset/label/span[1]
-13321,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[21]/fieldset/label/span[2]
Balcony,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[22]/fieldset/label/span[1]
-5102,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[22]/fieldset/label/span[2]
Office,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[23]/fieldset/label/span[1]
-2104,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[23]/fieldset/label/span[2]
Den,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[24]/fieldset/label/span[1]
-1080,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[24]/fieldset/label/span[2]
Yard,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[25]/fieldset/label/span[1]
-1004,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[25]/fieldset/label/span[2]
Clubhouse,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[26]/fieldset/label/span[1]
-3360,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[26]/fieldset/label/span[2]
Business Center,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[27]/fieldset/label/span[1]
-6011,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[27]/fieldset/label/span[2]
Controlled Access,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[28]/fieldset/label/span[1]
-5523,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[28]/fieldset/label/span[2]
Playground,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[29]/fieldset/label/span[1]
-534,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[29]/fieldset/label/span[2]
Basement,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[30]/fieldset/label/span[1]
-522,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[30]/fieldset/label/span[2]
Walk-In Closets,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[31]/fieldset/label/span[1]
-6884,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[31]/fieldset/label/span[2]
Concierge,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[32]/fieldset/label/span[1]
-4583,NE,/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[32]/fieldset/label/span[2]
