	nodes	xpaths
88	$4,000	/html/body/div[1]/main/section/header/select[2]/option[38]
89	$4,200	/html/body/div[1]/main/section/header/select[2]/option[39]
90	$4,400	/html/body/div[1]/main/section/header/select[2]/option[40]
91	$4,600	/html/body/div[1]/main/section/header/select[2]/option[41]
92	$4,800	/html/body/div[1]/main/section/header/select[2]/option[42]
93	$5,000	/html/body/div[1]/main/section/header/select[2]/option[43]
94	$7,500	/html/body/div[1]/main/section/header/select[2]/option[44]
95	$10,000	/html/body/div[1]/main/section/header/select[2]/option[45]
96	$15,000	/html/body/div[1]/main/section/header/select[2]/option[46]
97	Beds	/html/body/div[1]/main/section/header/select[3]/option[1]
98	Studio	/html/body/div[1]/main/section/header/select[3]/option[2]
99	1 Bed	/html/body/div[1]/main/section/header/select[3]/option[3]
100	2 Beds	/html/body/div[1]/main/section/header/select[3]/option[4]
101	3 Beds	/html/body/div[1]/main/section/header/select[3]/option[5]
102	4 Beds	/html/body/div[1]/main/section/header/select[3]/option[6]
103	Baths	/html/body/div[1]/main/section/header/span[2]/select/option[1]
104	1+ Baths	/html/body/div[1]/main/section/header/span[2]/select/option[2]
105	2+ Baths	/html/body/div[1]/main/section/header/span[2]/select/option[3]
106	3+ Baths	/html/body/div[1]/main/section/header/span[2]/select/option[4]
107	More Filters	/html/body/div[1]/main/section/header/div/span/button[1]
108	Filters	/html/body/div[1]/main/section/header/div/span/button[2]
109	Polygon	/html/body/div[1]/main/section/header/div/button[1]
110	Plan Commute	/html/body/div[1]/main/section/header/div/button[2]
111	Show All	/html/body/div[1]/main/section/header/div/button[3]
112	Neighborhood Info	/html/body/div[1]/main/section/header/div/div/span/a[1]
113	Neighborhoods	/html/body/div[1]/main/section/header/div/div/span/a[2]
114	Show All	/html/body/div[1]/main/section/header/div/div/button[1]
115	Sort	/html/body/div[1]/main/section/header/div/div/button[2]/span
116	Default	/html/body/div[1]/main/section/header/div/div/ul/li[1]
117	Save	/html/body/div[1]/main/section/header/div/div/button[3]
118	Loading Results...	/html/body/div[1]/main/section/div[1]/div/p
119	No Results Found	/html/body/div[1]/main/section/div[1]/section[1]/article/p
120	The Tides	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[1]/a
121	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[1]/span/span[1]
122	77	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[1]/span/span[2]
123	360 E South Water St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/div[2]/span[1]
124	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/div[2]/span[2]/span[1]
125	60601	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/div[2]/span[2]/span[2]
126	$1,590 - $3,953	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/div[3]/p[1]
127	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/div[3]/p[2]
128	312-288-8069	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/div[4]/p
129	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/div[4]/a
130	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[1]/section[2]/div[2]/a[2]/span
131	AMLI River North	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[1]/a
132	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[1]/span/span[1]
133	83	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[1]/span/span[2]
134	71 W Hubbard St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/div[2]/span[1]
135	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/div[2]/span[2]/span[1]
136	60654	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/div[2]/span[2]/span[2]
137	$1,829 - $6,947	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/div[3]/p[1]
138	Studio - 3 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/div[3]/p[2]
139	312-219-9513	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/div[4]/p
140	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/div[4]/a
141	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[2]/section[2]/div[2]/a[2]/span
142	Coast	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[1]/a
143	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[1]/span/span[1]
144	117	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[1]/span/span[2]
145	345 E Wacker Dr	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/div[2]/span[1]
146	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/div[2]/span[2]/span[1]
147	60601	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/div[2]/span[2]/span[2]
148	$1,568 - $4,530	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/div[3]/p[1]
149	Studio - 3 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/div[3]/p[2]
150	773-904-9571	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/div[4]/p
151	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/div[4]/a
152	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[3]/section[2]/div[2]/a[2]/span
153	Regents Park	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[1]/a
154	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[1]/span/span[1]
155	46	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[1]/span/span[2]
156	5020-5050 S Lake Shore Dr	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/div[2]/span[1]
157	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/div[2]/span[2]/span[1]
158	60615	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/div[2]/span[2]/span[2]
159	$1,113 - $3,274	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/div[3]/p[1]
160	Studio - 3 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/div[3]/p[2]
161	866-611-2494	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/div[4]/p
162	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/div[4]/a
163	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[4]/section[2]/div[2]/a[2]/span
164	The Shoreham	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[1]/a
165	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[1]/span/span[1]
166	81	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[1]/span/span[2]
167	400 E South Water St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/div[2]/span[1]
168	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/div[2]/span[2]/span[1]
169	60601	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/div[2]/span[2]/span[2]
170	$1,588 - $3,802	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/div[3]/p[1]
171	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/div[3]/p[2]
172	866-599-7868	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/div[4]/p
173	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/div[4]/a
174	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[5]/section[2]/div[2]/a[2]/span
175	Lake Meadows 2429	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[1]/a
176	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[1]/span/span[1]
177	30	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[1]/span/span[2]
178	500 E 33rd St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/div[2]/span[1]
179	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/div[2]/span[2]/span[1]
180	60616	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/div[2]/span[2]/span[2]
181	$725 - $1,866	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/div[3]/p[1]
182	Studio - 3 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/div[3]/p[2]
183	312-985-0261	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/div[4]/p
184	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/div[4]/a
185	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[6]/section[2]/div[2]/a[2]/span
186	Aqua Apartments	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[1]/a
187	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[1]/span/span[1]
188	170	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[1]/span/span[2]
189	225 N Columbus Dr	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/div[2]/span[1]
190	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/div[2]/span[2]/span[1]
191	60601	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/div[2]/span[2]/span[2]
192	$1,612 - $4,605	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/div[3]/p[1]
193	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/div[3]/p[2]
194	866-933-3491	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/div[4]/p
195	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/div[4]/a
196	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[7]/section[2]/div[2]/a[2]/span
197	1130 SOUTH MICHIGAN	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[1]/a
198	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[1]/span/span[1]
199	79	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[1]/span/span[2]
200	1130 S Michigan Ave	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/div[2]/span[1]
201	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/div[2]/span[2]/span[1]
202	60605	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/div[2]/span[2]/span[2]
203	$1,190 - $3,896	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/div[3]/p[1]
204	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/div[3]/p[2]
205	866-610-8317	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/div[4]/p
206	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/div[4]/a
207	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[8]/section[2]/div[2]/a[2]/span
208	Optima Chicago Center	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[1]/a
209	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[1]/span/span[1]
210	18	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[1]/span/span[2]
211	200 E Illinois St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/div[2]/span[1]
212	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/div[2]/span[2]/span[1]
213	60611	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/div[2]/span[2]/span[2]
214	$2,226 - $9,700	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/div[3]/p[1]
215	Studio - 4 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/div[3]/p[2]
216	773-273-6395	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/div[4]/p
217	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/div[4]/a
218	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[9]/section[2]/div[2]/a[2]/span
219	1350-60 LAKE SHORE DRIVE	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[1]/a
220	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[1]/span/span[1]
221	51	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[1]/span/span[2]
222	1350 N Lake Shore Dr	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/div[2]/span[1]
223	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/div[2]/span[2]/span[1]
224	60610	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/div[2]/span[2]/span[2]
225	$1,191 - $3,032	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/div[3]/p[1]
226	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/div[3]/p[2]
227	312-462-0403	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/div[4]/p
228	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/div[4]/a
229	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[10]/section[2]/div[2]/a[2]/span
230	THE CHICAGOAN	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[1]/a
231	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[1]/span/span[1]
232	51	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[1]/span/span[2]
233	750 N Rush St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/div[2]/span[1]
234	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/div[2]/span[2]/span[1]
235	60611	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/div[2]/span[2]/span[2]
236	$1,794 - $6,712	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/div[3]/p[1]
237	1-3 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/div[3]/p[2]
238	773-675-1163	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/div[4]/p
239	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/div[4]/a
240	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[11]/section[2]/div[2]/a[2]/span
241	850 Lake Shore Drive	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[1]/a
242	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[1]/span/span[1]
243	78	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[1]/span/span[2]
244	850 N Lake Shore Dr	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/div[2]/span[1]
245	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/div[2]/span[2]/span[1]
246	60611	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/div[2]/span[2]/span[2]
247	$1,990 - $12,000	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/div[3]/p[1]
248	Studio - 3 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/div[3]/p[2]
249	312-462-1903	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/div[4]/p
250	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/div[4]/a
251	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[12]/section[2]/div[2]/a[2]/span
252	Jones Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[1]/a
253	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[1]/span/span[1]
254	9	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[1]/span/span[2]
255	220 W Illinois St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/div[2]/span[1]
256	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/div[2]/span[2]/span[1]
257	60610	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/div[2]/span[2]/span[2]
258	$1,955 - $3,940	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/div[3]/p[1]
259	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/div[3]/p[2]
260	773-492-6656	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/div[4]/p
261	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/div[4]/a
262	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[13]/section[2]/div[2]/a[2]/span
263	Woodlawn Terrace	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[1]/a
264	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[1]/span/span[1]
265	11	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[1]/span/span[2]
266	4726-4740 S Woodlawn Ave	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/div[2]/span[1]
267	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/div[2]/span[2]/span[1]
268	60615	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/div[2]/span[2]/span[2]
269	$763 - $1,511	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/div[3]/p[1]
270	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/div[3]/p[2]
271	855-254-1372	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/div[4]/p
272	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/div[4]/a
273	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[14]/section[2]/div[2]/a[2]/span
274	The Lofts at River East	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[1]/a
275	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[1]/span/span[1]
276	11	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[1]/span/span[2]
277	445 E Illinois St	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/div[2]/span[1]
278	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/div[2]/span[2]/span[1]
279	60611	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/div[2]/span[2]/span[2]
280	$1,815 - $4,925	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/div[3]/p[1]
281	Studio - 3 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/div[3]/p[2]
282	844-274-9788	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/div[4]/p
283	More...	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/div[4]/a
284	Contact Property	/html/body/div[1]/main/section/div[1]/section[1]/div/article[15]/section[2]/div[2]/a[2]/span
285	Somerset Place Apartments	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[1]/a
286	1	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[2]/div[1]/span/span[1]
287	193	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[2]/div[1]/span/span[2]
288	5009 N Sheridan Rd	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[2]/div[2]/div[2]/span[1]
289	Chicago	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[2]/div[2]/div[2]/span[2]/span[1]
290	60640	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[2]/div[2]/div[2]/span[2]/span[2]
291	$1,200 - $2,400	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[2]/div[2]/div[3]/p[1]
292	Studio - 2 Br	/html/body/div[1]/main/section/div[1]/section[1]/div/article[16]/section[2]/div[2]/div[3]/p[2]
