	nodes	xpaths
206	(8706)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[10]/fieldset/label/span[2]
207	Doorman	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[11]/fieldset/label/span[1]
208	(3584)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[11]/fieldset/label/span[2]
209	Dog Friendly	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[12]/fieldset/label/span[1]
210	(14973)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[12]/fieldset/label/span[2]
211	Cat Friendly	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[13]/fieldset/label/span[1]
212	(17458)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[13]/fieldset/label/span[2]
213	Furnished	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[14]/fieldset/label/span[1]
214	(1924)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[14]/fieldset/label/span[2]
215	Lofts	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[15]/fieldset/label/span[1]
216	(876)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[15]/fieldset/label/span[2]
217	Utilities Included	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[16]/fieldset/label/span[1]
218	(10770)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[16]/fieldset/label/span[2]
219	Gated	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[17]/fieldset/label/span[1]
220	(4046)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[17]/fieldset/label/span[2]
221	Fireplace	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[18]/fieldset/label/span[1]
222	(2306)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[18]/fieldset/label/span[2]
223	Patio	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[19]/fieldset/label/span[1]
224	(2103)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[19]/fieldset/label/span[2]
225	Garage	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[20]/fieldset/label/span[1]
226	(7396)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[20]/fieldset/label/span[2]
227	Hardwood Floors	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[21]/fieldset/label/span[1]
228	(12774)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[21]/fieldset/label/span[2]
229	Balcony	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[22]/fieldset/label/span[1]
230	(4644)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[22]/fieldset/label/span[2]
231	Office	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[23]/fieldset/label/span[1]
232	(1761)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[23]/fieldset/label/span[2]
233	Den	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[24]/fieldset/label/span[1]
234	(845)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[24]/fieldset/label/span[2]
235	Yard	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[25]/fieldset/label/span[1]
236	(929)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[25]/fieldset/label/span[2]
237	Clubhouse	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[26]/fieldset/label/span[1]
238	(2912)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[26]/fieldset/label/span[2]
239	Business Center	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[27]/fieldset/label/span[1]
240	(5155)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[27]/fieldset/label/span[2]
241	Controlled Access	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[28]/fieldset/label/span[1]
242	(5063)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[28]/fieldset/label/span[2]
243	Playground	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[29]/fieldset/label/span[1]
244	(366)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[29]/fieldset/label/span[2]
245	Basement	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[30]/fieldset/label/span[1]
246	(408)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[30]/fieldset/label/span[2]
247	Walk-In Closets	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[31]/fieldset/label/span[1]
248	(6605)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[31]/fieldset/label/span[2]
249	Concierge	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[32]/fieldset/label/span[1]
250	(4195)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[2]/ul/li[32]/fieldset/label/span[2]
251	Affordability	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/h2[3]
252	Low Income	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[3]/ul/li[1]/fieldset/label/span[1]
253	(487)	/html/body/div[1]/main/section/section[1]/div[1]/div/section[4]/div[3]/ul/li[1]/fieldset/label/span[2]
